fold,test_bird,attempt,random_state,mean_logspeed_state0,mean_logspeed_state1,rest_state,move_state,recall_high_speed_as_move,false_move_on_low,pred_rest,pred_forage,pred_flight,median_speed_rest,median_speed_forage,median_speed_flight
1,G15GUCO_13_20181129-120701,1,42,-3.7655016022099015,1.1224554535043556,0,1,0.9855491329479769,0.04443296305864118,3899,116,341,0.0756926468337516,6.480251722664871,14.51751002208149
2,G13GUCO_COR08_2019,1,42,-3.6695957560649806,1.1836714241423438,0,1,1.0,0.10919540229885058,5394,161,373,0.03672349132138521,4.915245878630278,14.966485711472266
3,G18GUCO_20191123_A21,1,42,-3.73809149234274,1.161793640365137,0,1,1.0,0.07085714285714285,2625,90,174,0.06630883161561768,6.682269258263091,14.250174279761818
4,G05GUCO_09_20181126-070802,1,42,-3.764878383998315,1.1019857733010798,0,1,0.989406779661017,0.05013850415512466,3623,144,467,0.07452373919533611,7.153709367096923,14.930366725953649
5,G14GUCO_COR03_2019,1,42,-3.6814697643250236,1.189893020139529,0,1,1.0,0.08448074679113185,4285,107,304,0.04366975723013619,6.843662270277964,15.044792522577323
